"01240","Lenox","MA","42.3642","-73.2713"
"01242","Lenox Dale","MA","42.3386","-73.2509"
"01243","Middlefield","MA","42.3561","-73.0104"
"01244","Mill River","MA","42.1228","-73.254"
"01245","Monterey","MA","42.1867","-73.2065"
"01247","North Adams","MA","42.6955","-73.08"
"01252","North Egremont","MA","42.1986","-73.4462"
"01253","Otis","MA","42.1899","-73.0821"
"01254","Richmond","MA","42.3784","-73.3645"
"01255","Sandisfield","MA","42.1094","-73.1163"
"01256","Savoy","MA","42.577","-73.0233"
"01257","Sheffield","MA","42.1001","-73.3611"
"01258","South Egremont","MA","42.1012","-73.4566"
"01259","Southfield","MA","42.078","-73.2609"
"01260","South Lee","MA","42.2866","-73.3133"
"01262","Stockbridge","MA","42.301","-73.3223"
"01263","Stockbridge","MA","42.3929","-73.2285"
"01264","Tyringham","MA","42.22","-73.1979"
"01266","West Stockbridge","MA","42.3348","-73.3825"
"01267","Williamstown","MA","42.7089","-73.2036"
"01270","Windsor","MA","42.515","-73.0412"
"01301","Greenfield","MA","42.6013","-72.6236"
"01302","Greenfield","MA","42.5222","-72.6242"
"01330","Ashfield","MA","42.5232","-72.811"
"01331","Athol","MA","42.5473","-72.1839"
"01337","Bernardston","MA","42.6952","-72.5772"
"01338","Buckland","MA","42.5736","-72.8213"
"01339","Charlemont","MA","42.608","-72.8901"
"01340","Colrain","MA","42.679","-72.7265"
"01341","Conway","MA","42.5138","-72.7025"
"01342","Deerfield","MA","42.5406","-72.6072"
"01343","Drury","MA","42.6427","-72.9862"
"01344","Erving","MA","42.6076","-72.4292"
"01346","Heath","MA","42.6853","-72.8391"
"01347","Lake Pleasant","MA","42.5566","-72.5181"
"01349","Turners Falls","MA","42.5725","-72.4832"
"01350","Monroe Bridge","MA","42.7215","-72.9762"
"01351","Montague","MA","42.5429","-72.5328"
"01354","Northfield","MA","42.6337","-72.5111"
"01355","New Salem","MA","42.5146","-72.3062"
"01360","Northfield","MA","42.6887","-72.451"
"01364","Orange","MA","42.6129","-72.2924"
"01366","Petersham","MA","42.4898","-72.1893"
"01367","Rowe","MA","42.6953","-72.9258"
"01368","Royalston","MA","42.6722","-72.1964"
"01369","Shattuckville","MA","42.5222","-72.6242"
"01370","Shelburne Falls","MA","42.6022","-72.7391"
"01373","South Deerfield","MA","42.4756","-72.6153"
"01375","Sunderland","MA","42.4539","-72.5676"
"01376","Turners Falls","MA","42.5954","-72.5557"
"01378","Warwick","MA","42.6671","-72.3397"
"01379","Wendell","MA","42.5656","-72.4009"
"01380","Wendell Depot","MA","42.5534","-72.3927"
"01420","Fitchburg","MA","42.5796","-71.8031"
"01430","Ashburnham","MA","42.6496","-71.9267"
"01431","Ashby","MA","42.6745","-71.8174"
"01432","Ayer","MA","42.5591","-71.5788"
"01433","Ft Devens","MA","42.5336","-71.6215"
"01434","Devens","MA","42.5385","-71.6115"
"01436","Baldwinville","MA","42.5936","-72.0646"
"01438","East Templeton","MA","42.5517","-72.0294"
"01440","Gardner","MA","42.574","-71.9898"
"01441","Gardner","MA","42.3648","-71.8969"
"01450","Groton","MA","42.6124","-71.5584"
"01451","Harvard","MA","42.4986","-71.5753"
"01452","Hubbardston","MA","42.4865","-72.0012"
"01453","Leominster","MA","42.5274","-71.7563"
"01460","Littleton","MA","42.5401","-71.4877"
"01462","Lunenburg","MA","42.5884","-71.7266"
"01463","Pepperell","MA","42.6689","-71.5934"
"01464","Shirley","MA","42.5734","-71.6483"
"01466","Ashburnham","MA","42.6116","-71.9295"
"01467","Still River","MA","42.4871","-71.6131"
"01468","Templeton","MA","42.546","-72.065"
"01469","Townsend","MA","42.6525","-71.6896"
"01470","Groton","MA","42.4464","-71.4594"
"01471","Groton","MA","42.4464","-71.4594"
"01472","West Groton","MA","42.4464","-71.4594"
"01473","Westminster","MA","42.5483","-71.9096"
"01474","West Townsend","MA","42.6678","-71.7522"
"01475","Winchendon","MA","42.6789","-72.0475"
"01477","Winchendon Springs","MA","42.3648","-71.8969"
"01501","Auburn","MA","42.2055","-71.8391"
"01503","Berlin","MA","42.3844","-71.6356"
"01504","Blackstone","MA","42.0287","-71.5269"
"01505","Boylston","MA","42.3377","-71.731"
"01506","Brookfield","MA","42.1991","-72.0989"
"01507","Charlton","MA","42.1379","-71.9664"
"01508","Charlton City","MA","42.1097","-72.0795"
"01509","Charlton Depot","MA","42.3648","-71.8969"
"01510","Clinton","MA","42.4181","-71.6828"
"01515","East Brookfield","MA","42.2193","-72.0481"
"01516","Douglas","MA","42.0528","-71.7509"
"01517","East Princeton","MA","42.3648","-71.8969"
"01518","Fiskdale","MA","42.1228","-72.1178"
"01519","Grafton","MA","42.2004","-71.6868"
"01520","Holden","MA","42.342","-71.8414"
"01521","Holland","MA","42.0403","-72.1544"
"01522","Jefferson","MA","42.3755","-71.8706"
"01523","Lancaster","MA","42.451","-71.6868"
"01524","Leicester","MA","42.237","-71.9188"
"01525","Linwood","MA","42.3648","-71.8969"
"01526","Manchaug","MA","42.3648","-71.8969"
"01527","Millbury","MA","42.1968","-71.7644"
"01529","Millville","MA","42.0331","-71.5798"
"01531","New Braintree","MA","42.3198","-72.1306"
"01532","Northborough","MA","42.3182","-71.6464"
"01534","Northbridge","MA","42.1494","-71.6564"
"01535","North Brookfield","MA","42.2665","-72.0821"
"01536","North Grafton","MA","42.2297","-71.7037"
"01537","North Oxford","MA","42.1655","-71.886"
"01538","North Uxbridge","MA","42.3648","-71.8969"
"01539","Oakdale","MA","42.3581","-71.7832"
"01540","Oxford","MA","42.1128","-71.8687"
"01541","Princeton","MA","42.4508","-71.8762"
"01542","Rochdale","MA","42.1997","-71.9069"
"01543","Rutland","MA","42.3762","-71.949"
"01545","Shrewsbury","MA","42.2848","-71.7205"
"01546","Shrewsbury","MA","42.3648","-71.8969"
"01550","Southbridge","MA","42.075","-72.0353"
"01560","South Grafton","MA","42.176","-71.6927"
"01561","South Lancaster","MA","42.4435","-71.6861"
"01562","Spencer","MA","42.2441","-71.9906"
"01564","Sterling","MA","42.4354","-71.7752"
"01566","Sturbridge","MA","42.1126","-72.0842"
"01568","Upton","MA","42.1756","-71.6032"
"01569","Uxbridge","MA","42.0744","-71.6329"
"01570","Webster","MA","42.0521","-71.8486"
"01571","Dudley","MA","42.0489","-71.8932"
"01580","Westborough","MA","42.3648","-71.8969"
"01581","Westborough","MA","42.2679","-71.6176"
"01582","Westborough","MA","42.3648","-71.8969"
"01583","West Boylston","MA","42.3584","-71.7838"
"01585","West Brookfield","MA","42.2441","-72.1511"
"01586","West Millbury","MA","42.3648","-71.8969"
"01587","Upton","MA","42.1702","-71.6259"
"01588","Whitinsville","MA","42.1153","-71.6644"
"01590","Sutton","MA","42.1266","-71.7552"
"01601","Worcester","MA","42.2653","-71.8794"
"01602","Worcester","MA","42.2703","-71.8417"
"01603","Worcester","MA","42.245","-71.838"
"01604","Worcester","MA","42.2541","-71.7746"
"01605","Worcester","MA","42.2894","-71.7888"
"01606","Worcester","MA","42.311","-71.7958"
"01607","Worcester","MA","42.2303","-71.7938"
"01608","Worcester","MA","42.2624","-71.8003"
"01609","Worcester","MA","42.2826","-71.8277"
"01610","Worcester","MA","42.2492","-71.8108"
"01611","Cherry Valley","MA","42.2373","-71.875"
"01612","Paxton","MA","42.3066","-71.9202"
"01613","Worcester","MA","42.2933","-71.802"
"01614","Worcester","MA","42.3648","-71.8969"
"01615","Worcester","MA","42.3648","-71.8969"
"01653","Worcester","MA","42.3648","-71.8969"
"01654","Worcester","MA","42.3648","-71.8969"
"01655","Worcester","MA","42.3648","-71.8969"
"01701","Framingham","MA","42.3007","-71.4255"
"01702","Framingham","MA","42.2822","-71.4339"
"01703","Framingham","MA","42.4464","-71.4594"
"01704","Framingham","MA","42.4464","-71.4594"
"01705","Framingham","MA","42.4464","-71.4594"
"01718","Village Of Nagog Woods","MA","42.5198","-71.4293"
"01719","Boxborough","MA","42.4884","-71.5178"
